année,inflation,revalorisation,smic,abattement
1991,3.2,1.535,5.19,10
1992,2.4,1.485,5.31,10
1993,2.1,1.485,5.42,10
1994,1.6,1.459,5.64,10
1995,1.8,1.442,5.78,10
1996,2,1.407,06.01,10
1997,1.2,1.392,6.13,10
1998,0.6,1.376,6.21,10
1999,0.5,1.361,6.41,10
2000,1.7,1.354,6.66,10
2001,1.6,1.327,6.83,10
2002,1.9,1.297,7.19,10
2003,2.1,1.276,7.61,10
2004,2.1,1.256,8.03,10
2005,1.7,1.234,8.27,10
2006,1.7,1.212,8.44,10
2007,1.5,1.192,8.71,10
2008,2.8,1.18,8.63,10
2009,0.1,1.17,8.82,10
2010,1.5,1.159,8.86,10
2011,2.1,1.149,9.22,10
2012,2,1.126,9.43,10
2013,0.9,1.104,9.53,10
2014,0.5,01.09,9.61,10
2015,0,01.09,9.67,10
2016,0.2,1.089,9.76,10
2017,1,1.089,9.88,10
2018,1.8,1.081,10.03,10
2019,1.1,1.066,10.15,10
2020,0.5,1.055,10.48,10
2021,1.6,1.051,11.07,10
2022,5.2,01.04,11.27,9
2023,1,1,11.27,8
2024,1,1,11.27,7
2025,1,1,11.27,6
2026,1,1,11.27,5
2027,1,1,11.27,4
2028,1,1,11.27,3
2029,1,1,11.27,0
